Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GameScenario,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,Precision,ThreePrecision,InputNumber
2020-05-19,19:36:06.2185,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,
2020-05-19,19:36:09.2042,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,
2020-05-19,19:36:09.1712,KeyDown,T,0,0,0,CorrectKey,T,None,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:09.3552,KeyDown,Y,0.1906391,0.1906391,1,CorrectKey,Y,I,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:09.3872,KeyDown,I,0.2144811,0.023842,2,CorrectKey,Y,I,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:09.5573,KeyDown,U,0.392216,0.1777349,3,CorrectKey,U,None,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:09.5613,KeySequenceStopped,NA,0.3988024,0.0065864,NA,NA,NA,NA,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:11.2046,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Constant,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:11.2066,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Constant,NA,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:11.2086,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:11.2307,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.5,2,Running,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:11.2316,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.5,2.2,Running,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:15.2355,Paused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.2,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:15.2355,Paused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:19.2354,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:36:19.1544,KeyDown,T,0,0,0,CorrectKey,T,None,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:19.3715,KeyDown,I,0.2176525,0.2176525,1,CorrectKey,Y,I,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:19.3845,KeyDown,Y,0.2304228,0.0127703,2,CorrectKey,Y,I,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:19.6045,KeyDown,U,0.4505028,0.2200801,3,CorrectKey,U,None,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:19.6075,KeySequenceStopped,NA,0.4568821,0.0063793,NA,NA,NA,NA,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:21.6360,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:21.6360,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:21.6370,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.4,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:21.6430,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.5,2.4,Running,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:21.6430,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.5,2.6,Running,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:25.6489,Paused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,5,2.6,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:25.6489,Paused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:36:29.3467,KeyDown,J,0,0,NA,WrongKey,T,None,2,Mistyped,Slow,Rejected,TYIU,ClosedByDeadzone,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,0,Rejected,KeySequence,0,NA,2,
2020-05-19,19:36:29.7278,KeyDown,H,0.3809899,0.3809899,NA,WrongKey,Y,I,2,Mistyped,Slow,Rejected,TYIU,ClosedByDeadzone,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,0,Rejected,KeySequence,0,NA,2,
2020-05-19,19:36:30.4740,KeySequenceStopped,NA,1.132276,0.7512861,NA,NA,NA,NA,2,Mistyped,Slow,Rejected,TYIU,ClosedByDeadzone,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,0,Rejected,KeySequence,0,NA,2,
2020-05-19,19:36:30.6480,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,0,Rejected,KeySequence,0,NA,2,
2020-05-19,19:36:30.6690,KeyDown,T,0,0,0,CorrectKey,T,None,3,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:30.9531,KeyDown,Y,0.2889202,0.2889202,1,CorrectKey,Y,I,3,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:31.0151,KeyDown,I,0.3514741,0.0625539,2,CorrectKey,Y,I,3,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:31.2101,KeyDown,U,0.5456459,0.1941718,3,CorrectKey,U,None,3,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:31.2131,KeySequenceStopped,NA,0.5530103,0.0073644,NA,NA,NA,NA,3,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4486,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4486,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4496,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,5,2.8,Paused,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4556,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.75,2.8,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4566,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.75,2.7,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4566,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.25,2.7,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:33.4566,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,3,
2020-05-19,19:36:36.2163,KeyDown,J,0,0,NA,WrongKey,T,None,4,Mistyped,Slow,Rejected,TYIU,ClosedByDeadzone,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,0,Rejected,KeySequence,0,NA,4,
2020-05-19,19:36:36.9644,KeySequenceStopped,NA,0.7533718,0.7533718,NA,NA,NA,NA,4,Mistyped,Slow,Rejected,TYIU,ClosedByDeadzone,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,0,Rejected,KeySequence,0,NA,4,
2020-05-19,19:36:37.7066,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,0,Rejected,KeySequence,0,NA,4,
2020-05-19,19:36:37.5966,KeyDown,T,0,0,0,CorrectKey,T,None,5,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:37.8066,KeyDown,Y,0.2110352,0.2110352,1,CorrectKey,Y,I,5,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:37.8156,KeyDown,I,0.2173998,0.0063646,2,CorrectKey,Y,I,5,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:38.0267,KeyDown,U,0.4308206,0.2134208,3,CorrectKey,U,None,5,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:38.0307,KeySequenceStopped,NA,0.4374124,0.0065918,NA,NA,NA,NA,5,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:40.2092,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.3333333,0,0,0.3333333,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:40.2092,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:40.2112,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4.25,2.5,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,5,
2020-05-19,19:36:40.2172,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.5,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0.5626082,NA,5,
2020-05-19,19:36:40.2172,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,4,2.4,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0.5626082,NA,5,
2020-05-19,19:36:40.2182,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.5,2.4,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0.5626082,NA,5,
